Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage,Funding_Year,Year_of_existence,Actual_date,Year
Kitchens Centre,2019-01-01,Delhi,Consumer Goods,Offers solutions to cloud kitchens by providing commercial space and kitchen infrastructure to assisting with branding and other services,Lakshay Jain,AngelList India,500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Camp K12,2017-01-01,Gurugram,Education,It connects students with tutors online,"Anshul Bhagi, Sandeep Bhagi","Matrix Partners, SAIF Partners",4000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Ergos,2017-01-01,Bengaluru,Agriculture,It enables farmers to digitise their foodgrain and also provide access to supply chain solutions,"Kishor Jha, Praveen Kumar",Aavishkar Capital,4598000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Samadhan,2018-01-01,Delhi,IT & Technology,They help find solutions to insurance related issues,"Deepak Bhuvneshwari Uniyal, Shilpa Arora, Shailesh Kumar, Sanjay Aggarwal",Venture Catalysts,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
SaScan,2017-01-01,Bengaluru,Healthcare & Life sciences,Cancer diagnostics startup,Subhash Narayanan,Unicorn India ventures,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Lido Learning,2017-01-01,Mumbai,Education,Online teaching service,Sahil Sheth,"Pecus Capital, Madhur Deora",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
CureFit,2016-01-01,Bengaluru,Healthcare & Life sciences,"Integrated platform for food, fitness and meditation.","Mukesh Bansal, Ankit Nagori",Temasek,115000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Nimesa,2018-01-01,Bengaluru,IT & Technology,Cloud data managemnt solutions enterprise,"Tapesh Goyal, Rajesh Vaidhyanathan",Ideaspring capital,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Design X,2017-01-01,Noida,IT & Technology,Builds IoT based products,Preet Arjun Singh,ThinkNext LLC,200000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Driftly Electric,2017-01-01,Bengaluru,Transportation & Logistics,Electric vehicle startup,Sneha Roy,MG Motor India,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Imstrong,2019-01-01,Bengaluru,Healthcare & Life sciences,It is an online and live video-streaming platform that allows trainers and fitness enthusiasts to connect and engage in interactive online classes.,"Dilip Kumar, Selvan Thamarai, Deepti Nair",Rainmatter,400000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Craftsvilla,2017-01-01,Mumbai,Business Services,Online marketplace for ethnic wear,Monica Gupta. Manoj Gupta,Supera Investments,3900000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Rupifi,2020-01-01,Bengaluru,IT & Technology,Offers financial products for SMEs,"Anubhav Jain, Ankit Singh, Jawaid Iqbal","Ashneer Grover, Kunal Shah, Ramakant Sharma",3000000.0,Pre_seed,2020-01-01,0 days,2017-01-01,2017
SnackAmor,2017-01-01,Mumbai,Consumer Goods,It offers various healthy snacks,Deepak Grover,Undisclosed,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Zealthy,2019-01-01,Bengaluru,Healthcare & Life sciences,"It connects women to healthproviders for specialities like infertility, maternity etc.,","Rishi Malhotra, Akhil Gupta","KYT Ventures, First Cheque, AngelList",3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
QTalk,2017-01-01,Bengaluru,IT & Technology,Smart Phone Dialer,"Sagar Modi, Advaith Vishwanath","Accel India, Lightspeed Venture Partners",1600000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Shadez,2018-01-01,Mumbai,Consumer Goods,Paint Company,"Adarsh Anand, Amit Tiwari",Inflection Point Ventures,100000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Excess2Sell,2017-01-01,Mumbai,Retail,B2B Marketplace for Overstock & Surplus Inventory,Rajan Sharma,Gautham Madhavan,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Stanplus,2016-01-01,Hyderabad,Healthcare & Life sciences,Ambulance service,Prabhdeep Singh,Pegasus FinInvest,1500000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Pitstop,2017-01-01,Bengaluru,Transportation & Logistics,Doorstep car service,Mihir Mohan mishra,TPG-backed Group Landmark,2500000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
CoreStack,2016-01-01,Chennai,IT & Technology,Enterprise cloud governance technology startup,"Ezhilarasan Natarajan, Sabapathy Arumugam, Krishnakumar Narayanan, Thiruvalluvar NB",Naya Ventures,8500000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Vivriti Capital,2017-01-01,Chennai,IT & Technology,Digital lending startup,"Gaurav Kumar, Vineet Sukumar",LGT Lightstone Aspada,50000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Agnikul,2017-01-01,Chennai,IT & Technology,"It designs, fabricates, tests and launch orbital class launch vehicles",Srinath Ravichandran,pi Ventures,3148000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Khatabook,2017-01-01,Bengaluru,IT & Technology,It helps SMEs to maintain their accounts and ledger online.,Ravish Naresh,Mahendra Singh Dhoni,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
ZunRoof,2016-01-01,Gurugram,IT & Technology,"It specialises in solar rooftop design, installation, and management using technology","Pranesh Chaudhary, Sushant Sachan",Godrej Investments,3000000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
OM Bhakti,2017-01-01,Bengaluru,Consumer Goods,A puja cotton-wicks manufacturing startup,"Sridhar Joshi, Prashant Kulkarni",Venture Catalysts,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Lal10,2016-01-01,Uttar Pradesh,Business Services,It helps Indian artisans and SMEs reach out to global retailers,"Maneet Gohil, Sanchit Govil, Albin Jose",Sorenson Impact,1100000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Anaxee Digital Runner,2016-01-01,Indore,IT & Technology,A tech-enabled ID verification and data collection startup,"Govind Agrawal, Arti Agrawal",Orios Venture Partners,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
CollegeKhabri,2019-01-01,Bhopal,Education,Platform is an end-to-end college and career counselling platform for students,Arshi Khan,Vishal Dixit,3000000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Ola Electric,2017-01-01,Bengaluru,Transportation & Logistics,Electric vehicle,"Ankit Jain, Anand Shah",Pawan Munjal Family Trust Fund,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Multi Living,2017-01-01,Mumbai,Real Estate,"It curates apartments from the homeowners, performs the quality check and offers the homes with built-in services to the potential tenants",Pankaj Singh,Lodha Ventures,6000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
FamPay,2017-01-01,Bengaluru,IT & Technology,"It allows parents to send money to their kids below the age of 18, which they can spend securely under parent supervision.",Kush Taneja,"Y Combinator, Venture Highway, Sequoia India, Global Founders Capital",4700000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
UnboxRobotics Labs,2017-01-01,Bengaluru,Transportation & Logistics,Automated flexible parcel sorting solutions for logistics providers,Pramod Ghadge,"Arali Ventures, CIIE.CO",500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Karbon Card,2017-01-01,Bengaluru,IT & Technology,Specialisde corporate cards for startups,"Pei-fu Hsieh, Amit Jangir","Kunal Shah, Amrish Rau, Jitendra Gupta",2000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Airmeet,2017-01-01,Bengaluru,Others,"A platform to host, discover, and attend fully remote events like conferences and professional meet-ups","Lalit Mangal, Vinay Jaasti, Manoj Singh",Accel India,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Innerchef,2017-01-01,Gurugram,Consumer Goods,Cloud kitchen platform,Rajesh,Mistletoe,1000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
StyleNook,2017-01-01,Mumbai,Retail,Marketplace for fashionable apparel,Lathika Pai,"Lead Angels Network, Stanford Angels",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Callido Learning,2017-01-01,Mumbai,Education,Provides a structured educational approach to critical thinking and problem solving skills,Sriram Subramanian,Education Catalyst Fund,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Soxytoes,2017-01-01,Delhi,Retail,Online store to buy various types of socks including funky and colorful socks,"Vidushi Kajaria, Aayush Goenka",Angel network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
F5,2018-01-01,Delhi,Retail,Retail Aggregator,"Raghav Arora, Lalit Kumar Aggarwal",LetsVenture investors,3000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Strata,2019-01-01,Bengaluru,Real Estate,Real estate investment platform,"Sudarshan Lodha, Priyanka Rathore","SAIF Partners, Mayfield India",1500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Salesken,2017-01-01,Bengaluru,IT & Technology,Provides sales professionals with intelligence on various aspects of the sales pitch,"Sreeraman Vaidyanathan, Surga Thilakan",Sequoia India,8000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Arya,2017-01-01,Noida,Agriculture,Provides post-harvest services across the agricultural value chain,Prasanna Rao,LGT Lightstone Aspada,6000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Leap Finance,2017-01-01,Bengaluru,IT & Technology,Provides education loans to students based on the student’s future income,"Vaibhav Singh, Arnav Kumar",Sequoia India,5500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Sleepy Owl,2016-01-01,Delhi,Consumer Goods,"It sells ready to drink cold brew coffees, brew boxes and packs.","Ajai Thandi, Arman Sood, Ashwajeet Singh",Rukam Capital,3000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
GogoBus,2017-01-01,Delhi,Travel & Tourism,Inter-City Mobility Startup,Amit Gupta,Ixigo,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Trell,2016-01-01,Bengaluru,Retail,Allows users to share their travel experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba, Nirav Sheth","Sequoia’s Surge, Fosun RZ",4000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Spaciya Consultants,2017-01-01,Noida,Real Estate,Real estate consultancy firms,Ajit Panda,Alok Garg,500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Chqbook,2017-01-01,Gurugram,IT & Technology,"Marketplace for small business owners, offering them products around lending, credit cards etc","Vipul Sharma, Rajat Kumar, Sachin Arora, Mohit Goel",Aavishkaar Capital,5000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Oda Class,2017-01-01,Bengaluru,Education,"It offers content and material via video, adopting a dual-teacher model with IIT and NIT alumni","Li Yong, Shushant Srivastava",Yuanfudao,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Umeed Housing,2017-01-01,Haryana,IT & Technology,Housing finance company,Ashutosh Sharma,Morgan Stanley Private Equity Asia,23000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Vogo,2016-01-01,Bengaluru,Transportation & Logistics,A scooter-sharing platform allowing users to rent a two-wheeler from specific designated pick up points,"Anand Ayyadurai, Padmanabhan Balakrishnan, Sanchit Mittal",Lightstone Aspada,20000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
Flick Stree,2017-01-01,Mumbai,Others,Artificial intelligence-based video publishing network,Saurabh Singh,Samsung Venture Investment,3000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Qure ai,2016-01-01,Mumbai,Healthcare & Life sciences,Provides interpretations of radiology scans,"Prashant Warier, Pooja Rao",Sequoia India,16000000.0,Seed,2020-01-01,1461 days,2021-01-01,2021
MinionLabs,2017-01-01,Bengaluru,IT & Technology,It leverages a Machine Learning-based approach to generate a comprehensive report on predictive analytics,Gokul Shrinivas,Indian Angel Network,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Pepper,2017-01-01,Mumbai,Others,End to end content creation platform,Anirudh Singla and Rishabh Shekhar,"Kunal Bahl, Rohit Bansal",306900.0,Seed,2020-01-01,1095 days,2020-01-01,2020
BharatPe,2018-01-01,Delhi,IT & Technology,Digital payments platform,Ashneer Grover,Ribbit Capital,75000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
ElecTorq,2017-01-01,Delhi,Transportation & Logistics,Electric vehicle startup,Anubhav Sharma,AdvantEdge,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Prayaan Capital,2017-01-01,Chennai,IT & Technology,"NBFC that lends to micro, small, and medium-sized enterprises (MSMEs)","Madhan Mohan , Akash Chelvam",Accion Venture Lab,1200000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Sanfe,2017-01-01,Delhi,Healthcare & Life sciences,Women health care and wellness product,"Archit Agarwal, Harry Sehrawat","SucSEED Venture Partners, BIRAC, Elixir Pharma, Titan Capital",1100000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Go Desi,2018-01-01,Delhi,Consumer Goods,Provides traditional delicacies,Vinay Kothari,Rukam Capital,627300.0,Seed,2020-01-01,730 days,2019-01-01,2019
Digit Insurance,2017-01-01,Bengaluru,IT & Technology,General Insurance Company,Kamesh Goyal,"Virat Kohli, Anushka Sharma",340000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Yolo,2019-01-01,Gurugram,Transportation & Logistics,Intercity transportation,"Shailesh Gupta, Mukul Shah, Danish Chopra",Undisclosed,600000.0,Seed,2020-01-01,365 days,2018-01-01,2018
MaxWholesale,2016-01-01,Delhi,Retail,B2B ecommerce platform for kirana stores,Samarth Agrawal,"IAN Fund-I,  Al Falaj Investment Company (AFI)",3000000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
PlanetSpark,2016-01-01,Gurugram,Education,Provides neighbourhood learning zones where children learn and develop 'new-age' skills under one roof,"Maneesh Dhooper, Kunal Malik","Indian Angel Network, Lead Angels, Hyderabad Angels",448500.0,Seed,2020-01-01,1461 days,2021-01-01,2021
CamCom,2017-01-01,Bengaluru,IT & Technology,AI automation platform for enterprise quality control,"Ajith Nayar, Umesh, Mahesh Subramanian","Triton Investment Advisors,",3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Simsim,2017-01-01,Bengaluru,Retail,It enables community opinion influencers to sell products to thousands of micro-communities in India,Amit Bagaria,"Accel Partners, Shunwei Capital, Good Capital",8000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
HooLiv,2017-01-01,Delhi,Real Estate,Student Co-living startup,"Chinmoy Mishra, Gaurav Vij, and Abhishek Verma",Kolte-Patil Family Office,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
ClassMonitor,2017-01-01,Indore,Education,The learning platform that blends curriculum-based activities for children,"Vijeet Pandey, Vikas Rishishwar",Ashwin Khorana,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Friyey,2017-01-01,Pune,Business Services,Co working space startup,Yogesh Thore,Tarun Bhalla,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Oga,2017-01-01,Bengaluru,Healthcare & Life sciences,Provides interactive fitness experience to people across the world,Ashish Rawat,Inflection Point Ventures,330000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Big Basket,2017-01-01,Bengaluru,Retail,Online grocery store,"Abhinay Choudhari, Hari Menon, Vipul Parekh, VS Sudhakar",Trifecta Capital,3500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
CYFIRMA,2017-01-01,Bengaluru,IT & Technology,Offer cybersecurity services,Ritesh Kumar,Z3 Partners,3000000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
Innoviti,2017-01-01,Bengaluru,IT & Technology,Digital payments solutions company,Rajeev Agrawal,FMO,5000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Vedantu,2017-01-01,Bengaluru,Education,Onine learning platform,"Saurabh Saxena, Pulkit Jain, Anand Prakash, Vamsi Krishna",GGV Capital,24000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Yap,2017-01-01,Chennai,IT & Technology,Banking and payment products-focused API platform,"Madhusudanan R, Muthukumar and Prabhu","Amrish Rau, Kunal Shah, Jitendra Gupta",1402000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Clover,2017-01-01,Bengaluru,Agriculture,Provides agricultural solution to farmers working in the greenhouse production of vegetables and fruits,"Avinash BR, Gururaj Rao, Arvind Murali, Santhosh Narasipura","Omnivore, Accel Partners, Mayfield",5500000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
CodingNinjas,2016-01-01,Delhi,Education,Online learning platform,"Singla, Kannu Mittal, Dhawal Parate",Info Edge Ltd,5200000.0,Series_A,2020-01-01,1461 days,2021-01-01,2021
Brick&Bolt,2018-01-01,Bengaluru,Real Estate,Operates in the residential construction space,"Jayesh Rajpurohit, Arpit Rajpurohit",Surge,1500000.0,Seed,2020-01-01,730 days,2019-01-01,2019
MoEngage,2017-01-01,Bengaluru,Business Services,Customer analytics and cross-channel engagement platform,"Raviteja Dodda, Yashwanth Kumar",Eight Roads Ventures,25000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Qyuki,2017-01-01,Mumbai,Others,Multi-channel broadcast network,"AR Rahman, Shekhar Kapur",Info Edge Venture Fund,3500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Leap India,2017-01-01,Coimbatore,Agriculture,Agricultural warehousing and logistics company,Narain Karthikeyan.,Neev Fund,30000000.0,Series_B,2020-01-01,1095 days,2020-01-01,2020
Picxy,2017-01-01,Hyderabad,Others,Stock photo industry,Jitendra Emmani,"FirstCheque, Angellist India, Aakrit Vaish, Ranjith Radhakrishnan",250000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Krimanshi,2017-01-01,Jodhpur,Agriculture,Sustainable system to feed animals by valorizing food residues and surplus into highly nutritious feeds,Nikhil Bohra,Arunachal Pradesh Social Entrepreneurship Meet,20000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
NEETprep,2017-01-01,Delhi,Education,Provides crash course for NEET preparation,Kapil Gupta,IndiaQuotient,3000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Dot Pvt. Ltd,2017-01-01,Gurugram,IT & Technology,It provides digital transformation and commerce solutions to brick and mortar outlets,Shailaz Nag,"PayU, Fosun RZ Capital",8000000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Kuku FM,2017-01-01,Mumbai,Others,A podcast platform,"Lal Chand Bisu, Vikas Goyal, Vinod Kumar Meena",Vertex Ventures,5500000.0,Series_A,2020-01-01,1095 days,2020-01-01,2020
SuperMoney,2018-01-01,Mumbai,IT & Technology,Provides financial tools for effective business making,Nikhil Banerjee,Unitus Ventures.,1000000.0,Seed,2020-01-01,730 days,2019-01-01,2019
Fox Capital,2019-01-01,Jaipur,IT & Technology,Digital lending startup,Rakesh Sharma,Institutional Investors,2500000.0,Seed,2020-01-01,365 days,2018-01-01,2018
Tribe Theory,2017-01-01,Bengaluru,Healthcare & Life sciences,An entrepreneur-focused hostel chain present in multiple locations across the world.,Katie Russel and Daniel Wiegand,Tim Draper,3500000.0,Seed,2020-01-01,1095 days,2020-01-01,2020
Embibe,2017-01-01,Mumbai,Education,It provides AI-based data analytics to personalise learning outcomes,Aditi Avasthi,Reliance Industries Limited (RIL),12618300.0,Seed,2020-01-01,1095 days,2020-01-01,2020
